Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
03/03/01,Everton,Newcastle,1.0,1.0,D,0.0,0.0,D
03/03/01,Leeds,Man United,1.0,1.0,D,0.0,0.0,D
03/03/01,Leicester,Liverpool,2.0,0.0,H,0.0,0.0,D
03/03/01,Man City,Southampton,0.0,1.0,A,0.0,0.0,D
03/03/01,Middlesbrough,Charlton,0.0,0.0,D,0.0,0.0,D
04/03/01,Ipswich,Bradford,3.0,1.0,H,0.0,1.0,A
05/03/01,Sunderland,Aston Villa,1.0,1.0,D,0.0,0.0,D
07/03/01,West Ham,Chelsea,0.0,2.0,A,0.0,2.0,A
10/03/01,Aston Villa,Ipswich,2.0,1.0,H,0.0,1.0,A
17/03/01,Bradford,Man City,2.0,2.0,D,0.0,1.0,A
17/03/01,Charlton,Leeds,1.0,2.0,A,1.0,1.0,D
17/03/01,Chelsea,Sunderland,2.0,4.0,A,2.0,1.0,H
17/03/01,Man United,Leicester,2.0,0.0,H,0.0,0.0,D
17/03/01,Newcastle,Middlesbrough,1.0,2.0,A,0.0,2.0,A
17/03/01,Southampton,Everton,1.0,0.0,H,0.0,0.0,D
17/03/01,Tottenham,Coventry,3.0,0.0,H,2.0,0.0,H
17/03/01,West Ham,Ipswich,0.0,1.0,A,0.0,0.0,D
18/03/01,Aston Villa,Arsenal,0.0,0.0,D,0.0,0.0,D
18/03/01,Liverpool,Derby,1.0,1.0,D,0.0,1.0,A
31/03/01,Arsenal,Tottenham,2.0,0.0,H,0.0,0.0,D
31/03/01,Bradford,Newcastle,2.0,2.0,D,2.0,1.0,H
31/03/01,Chelsea,Middlesbrough,2.0,1.0,H,1.0,0.0,H
31/03/01,Coventry,Derby,2.0,0.0,H,1.0,0.0,H
31/03/01,Liverpool,Man United,2.0,0.0,H,2.0,0.0,H
31/03/01,Man City,Aston Villa,1.0,3.0,A,1.0,2.0,A
31/03/01,Sunderland,Leeds,0.0,2.0,A,0.0,1.0,A
31/03/01,West Ham,Everton,0.0,2.0,A,0.0,1.0,A
01/04/01,Charlton,Leicester,2.0,0.0,H,1.0,0.0,H
02/04/01,Southampton,Ipswich,0.0,3.0,A,0.0,1.0,A
04/04/01,Aston Villa,Leicester,2.0,1.0,H,1.0,1.0,D
07/04/01,Aston Villa,West Ham,2.0,2.0,D,0.0,0.0,D
07/04/01,Derby,Chelsea,0.0,4.0,A,0.0,0.0,D
07/04/01,Leeds,Southampton,2.0,0.0,H,1.0,0.0,H
07/04/01,Leicester,Coventry,1.0,3.0,A,1.0,2.0,A
08/04/01,Everton,Man City,3.0,1.0,H,2.0,1.0,H
09/04/01,Middlesbrough,Sunderland,0.0,0.0,D,0.0,0.0,D
10/04/01,Ipswich,Liverpool,1.0,1.0,D,0.0,0.0,D
10/04/01,Man United,Charlton,2.0,1.0,H,1.0,0.0,H
10/04/01,Tottenham,Bradford,2.0,1.0,H,1.0,1.0,D
11/04/01,Man City,Arsenal,0.0,4.0,A,0.0,4.0,A
13/04/01,Bradford,Charlton,2.0,0.0,H,0.0,0.0,D
13/04/01,Liverpool,Leeds,1.0,2.0,A,0.0,2.0,A
14/04/01,Arsenal,Middlesbrough,0.0,3.0,A,0.0,2.0,A
14/04/01,Aston Villa,Everton,2.0,1.0,H,1.0,1.0,D
14/04/01,Chelsea,Southampton,1.0,0.0,H,1.0,0.0,H
14/04/01,Ipswich,Newcastle,1.0,0.0,H,0.0,0.0,D
14/04/01,Leicester,Man City,1.0,2.0,A,1.0,1.0,D
14/04/01,Man United,Coventry,4.0,2.0,H,2.0,2.0,D
14/04/01,Sunderland,Tottenham,2.0,3.0,A,2.0,0.0,H
14/04/01,West Ham,Derby,3.0,1.0,H,3.0,0.0,H
16/04/01,Coventry,Sunderland,1.0,0.0,H,1.0,0.0,H
16/04/01,Derby,Leicester,2.0,0.0,H,1.0,0.0,H
16/04/01,Everton,Liverpool,2.0,3.0,A,1.0,1.0,D
16/04/01,Middlesbrough,Ipswich,1.0,2.0,A,1.0,0.0,H
16/04/01,Newcastle,West Ham,2.0,1.0,H,1.0,0.0,H
17/04/01,Charlton,Aston Villa,3.0,3.0,D,2.0,0.0,H
17/04/01,Tottenham,Chelsea,0.0,3.0,A,0.0,1.0,A
21/04/01,Arsenal,Everton,4.0,1.0,H,1.0,1.0,D
21/04/01,Aston Villa,Southampton,0.0,0.0,D,0.0,0.0,D
21/04/01,Bradford,Derby,2.0,0.0,H,1.0,0.0,H
21/04/01,Chelsea,Charlton,0.0,1.0,A,0.0,1.0,A
21/04/01,Ipswich,Coventry,2.0,0.0,H,1.0,0.0,H
21/04/01,Leicester,Middlesbrough,0.0,3.0,A,0.0,1.0,A
21/04/01,Man United,Man City,1.0,1.0,D,0.0,0.0,D
21/04/01,Sunderland,Newcastle,1.0,1.0,D,0.0,0.0,D
21/04/01,West Ham,Leeds,0.0,2.0,A,0.0,1.0,A
22/04/01,Liverpool,Tottenham,3.0,1.0,H,1.0,1.0,D
28/04/01,Coventry,Liverpool,0.0,2.0,A,0.0,0.0,D
28/04/01,Derby,Arsenal,1.0,2.0,A,1.0,1.0,D
28/04/01,Everton,Bradford,2.0,1.0,H,0.0,1.0,A
28/04/01,Leeds,Chelsea,2.0,0.0,H,0.0,0.0,D
28/04/01,Man City,West Ham,1.0,0.0,H,1.0,0.0,H
28/04/01,Middlesbrough,Man United,0.0,2.0,A,0.0,1.0,A
28/04/01,Newcastle,Leicester,1.0,0.0,H,0.0,0.0,D
28/04/01,Southampton,Sunderland,0.0,1.0,A,0.0,0.0,D
28/04/01,Tottenham,Aston Villa,0.0,0.0,D,0.0,0.0,D
30/04/01,Charlton,Ipswich,2.0,1.0,H,1.0,1.0,D
01/05/01,Bradford,Liverpool,0.0,2.0,A,0.0,0.0,D
01/05/01,Newcastle,Southampton,1.0,1.0,D,1.0,0.0,H
05/05/01,Arsenal,Leeds,2.0,1.0,H,1.0,0.0,H
05/05/01,Aston Villa,Coventry,3.0,2.0,H,0.0,2.0,A
05/05/01,Bradford,Middlesbrough,1.0,1.0,D,1.0,0.0,H
05/05/01,Chelsea,Everton,2.0,1.0,H,2.0,1.0,H
05/05/01,Leicester,Tottenham,4.0,2.0,H,1.0,0.0,H
05/05/01,Liverpool,Newcastle,3.0,0.0,H,1.0,0.0,H
05/05/01,Man United,Derby,0.0,1.0,A,0.0,1.0,A
05/05/01,Sunderland,Charlton,3.0,2.0,H,2.0,1.0,H
05/05/01,West Ham,Southampton,3.0,0.0,H,0.0,0.0,D
07/05/01,Ipswich,Man City,2.0,1.0,H,0.0,0.0,D
08/05/01,Liverpool,Chelsea,2.0,2.0,D,1.0,1.0,D
13/05/01,Leeds,Bradford,6.0,1.0,H,5.0,1.0,H
13/05/01,Southampton,Man United,2.0,1.0,H,2.0,0.0,H
15/05/01,Newcastle,Arsenal,0.0,0.0,D,0.0,0.0,D
19/05/01,Charlton,Liverpool,0.0,4.0,A,0.0,0.0,D
19/05/01,Coventry,Bradford,0.0,0.0,D,0.0,0.0,D
19/05/01,Derby,Ipswich,1.0,1.0,D,1.0,0.0,H
